id_activo;nombre;abreviacion;existencia
1;Iluminacion;ILUM - ;Si
2;Aire Acondicionado;AACO - ;Si
3;Radiador Calefaccion;RCAL - ;Si
4;Puerta;PRTA - ;Si
5;Ventanas & Cortinas;VENT - ;Si
6;Luces de Emergencia;LEME - ;Si
7;Matafuego;MTFG - ;Si
8;Barandas y Escaleras;BESC - ;Si
9;Tablero Electrico;TABE - ;Si
10;Inodoro & Mochila;INOD - ;Si
11;Mesada;MESA - ;Si
12;Ventilador;VENT - ;Si
13;Puerta Emergencia;PTAE - ;Si
14;Ascensor;ASCN - ;Si
15;Cortina Enrollar Motor;CORT - ;Si
16;Termotanque;TMTQ - ;Si
17;Calefactor;CALE - ;Si
18;Caldera;CALD - ;Si
19;Techos y Canaletas;TCHO - ;Si
20;Balcones;BALCO - ;Si
21;Paneles Solares e Inversor;PSOL - ;Si
22;Portones;PORT -;Si
23;Generador Electrico;GNDR - ;Si
24;Bombas de Agua;BMBA - ;Si
25;Tanques de Agua;TNQE - ;Si
26;Rejillas & Desagues;DESA - ;Si
27;Emergencia Alarma;EMER - ;Si
28;Espacio Fisico ;ESFI - ;Si
29;Ducha;DCHA - ;Si
30;Cocheras;CHRA - ;Si
31;Escalera;ESLR - ;Si
32;Camara Desague;CDES -;Si
33;Camara Septicas;CSEP - ;Si
34;NA;NA;Si
