id;edificio;piso;sector;activo;ubicacion;cantidad
1;1;3;1;1;1;1
2;1;3;1;1;1;2
3;1;3;1;1;1;3
4;1;3;1;1;1;4
5;1;3;1;1;1;5
6;1;3;1;1;1;6
7;1;3;20;1;1;7
8;1;3;3;1;1;8
9;1;3;3;1;1;9
10;1;3;3;1;1;10
11;1;3;3;1;1;11
12;1;3;3;1;1;12
13;1;3;3;1;1;13
14;1;3;4;1;1;14
15;1;3;4;1;1;15
16;1;3;4;1;1;16
17;1;3;4;1;1;17
18;1;3;4;1;1;18
19;1;3;4;1;1;19
20;1;3;2;1;1;20
21;1;3;2;1;1;21
22;1;3;2;1;1;22
23;1;3;2;1;1;23
24;1;3;2;1;1;24
25;1;3;2;1;1;25
26;1;3;5;1;1;26
27;1;3;5;1;1;23
28;1;3;5;1;1;28
29;1;3;6;1;1;29
30;1;3;6;1;1;30
31;1;3;7;1;1;31
32;1;3;7;1;1;32
33;1;3;7;1;1;33
34;1;3;7;1;1;34
35;1;3;9;1;1;35
36;1;3;9;1;1;36
37;1;3;9;1;1;37
38;1;3;10;1;1;38
39;1;3;11;1;1;39
40;1;3;11;1;1;40
41;1;3;11;1;1;41
42;1;3;11;1;1;42
43;1;3;11;1;1;43
44;1;3;11;1;1;44
45;1;3;12;1;1;45
46;1;3;12;1;1;46
47;1;3;12;1;1;47
48;1;3;12;1;1;48
49;1;3;12;1;1;49
50;1;3;12;1;1;50
51;1;3;12;1;1;51
52;1;3;12;1;1;52
53;1;3;12;1;1;53
54;1;3;14;1;1;54
55;1;3;14;1;1;55
56;1;3;14;1;1;56
57;1;3;14;1;1;57
58;1;3;14;1;1;58
59;1;3;14;1;1;59
60;1;3;14;1;1;60
61;1;3;14;1;1;61
62;1;3;14;1;1;62
63;1;3;14;1;1;63
64;1;3;16;1;1;64
65;1;3;16;1;1;65
66;1;3;16;1;1;66
67;1;3;16;1;1;67
68;1;3;16;1;1;68
69;1;3;16;1;1;69
70;1;3;16;1;1;70
71;1;3;16;1;1;71
72;1;3;16;1;1;72
73;1;3;17;1;1;73
74;1;3;17;1;1;74
75;1;3;17;1;1;75
76;1;3;17;1;1;76
77;1;3;17;1;1;77
78;1;3;17;1;1;78
79;1;3;17;1;1;79
80;1;3;17;1;1;80
81;1;3;17;1;1;81
82;1;3;17;1;1;82
83;1;3;15;1;1;83
84;1;3;15;1;1;84
85;1;3;15;1;1;85
86;1;3;15;1;1;86
87;1;3;15;1;1;87
88;1;3;15;1;1;88
89;1;3;15;1;1;89
90;1;3;15;1;1;90
91;1;3;15;1;1;91
92;1;3;13;1;1;92
93;1;3;13;1;1;93
94;1;3;13;1;1;94
95;1;3;13;1;1;95
96;1;3;13;1;1;96
97;1;3;13;1;1;97
98;1;3;13;1;1;98
99;1;3;13;1;1;99
100;1;3;13;1;1;100
101;1;3;18;1;1;101
102;1;3;18;1;1;102
103;1;3;18;1;1;103
104;1;3;18;1;1;104
105;1;3;18;1;1;105
106;1;3;18;1;1;106
107;1;3;18;1;1;107
108;1;3;18;1;1;108
109;1;3;18;1;1;109
110;1;1;21;1;1;110
111;1;1;21;1;1;111
112;1;1;21;1;1;112
113;1;1;21;1;1;113
114;1;1;21;1;1;114
115;1;1;21;1;1;115
116;1;1;21;1;1;116
117;1;1;21;1;1;117
118;1;1;21;1;1;118
119;1;1;21;1;1;119
120;1;1;21;1;1;120
121;1;1;21;1;1;121
122;1;1;21;1;1;122
123;1;1;21;1;1;123
124;1;1;21;1;1;124
125;1;1;21;1;1;125
126;1;1;21;1;1;126
127;1;1;21;1;1;127
128;1;1;21;1;1;128
129;1;1;21;1;1;129
130;1;1;21;1;1;130
131;1;1;21;1;1;131
132;1;1;21;1;1;132
133;1;1;21;1;1;133
134;1;1;21;1;1;134
135;1;1;21;1;1;135
136;1;1;21;1;1;136
137;1;1;21;1;1;137
138;1;1;21;1;1;138
139;1;1;23;1;1;139
140;1;1;23;1;1;140
141;1;1;23;1;1;141
142;1;1;23;1;1;142
143;1;1;23;1;1;143
144;1;1;23;1;1;144
145;1;1;23;1;1;145
146;1;1;25;1;1;146
147;1;1;25;1;1;147
148;1;1;25;1;1;148
149;1;1;25;1;1;149
150;1;1;25;1;1;150
151;1;1;25;1;1;151
152;1;1;25;1;1;152
153;1;1;25;1;1;153
154;1;1;26;1;1;154
155;1;1;26;1;1;155
156;1;1;26;1;1;156
157;1;1;26;1;1;157
158;1;1;26;1;1;158
159;1;1;26;1;1;159
160;1;1;26;1;1;160
161;1;1;26;1;1;161
162;1;1;27;1;1;162
163;1;1;27;1;1;163
164;1;1;28;1;1;164
165;1;1;29;1;1;165
166;1;1;29;1;1;166
167;1;1;29;1;1;167
168;1;1;29;1;1;168
169;1;1;30;1;1;169
170;1;1;30;1;1;170
171;1;1;30;1;1;171
172;1;1;30;1;1;172
173;1;1;30;1;1;173
174;1;1;30;1;1;174
175;1;1;30;1;1;175
176;1;1;31;1;1;176
177;1;1;31;1;1;177
178;1;1;31;1;1;178
179;1;1;31;1;1;179
180;1;1;31;1;1;180
181;1;1;31;1;1;181
182;1;1;32;1;1;182
183;1;1;33;1;1;183
184;1;1;33;1;1;184
185;1;1;33;1;1;185
186;1;1;33;1;1;186
187;1;1;33;1;1;187
